"trans_id","lang","translation"
"八戸溝二丁目(1)","ja","八戸溝二丁目(1)"
"八戸溝二丁目(1)","ja-Hrkt","やえみぞにちょうめ"
"八戸溝一丁目(1)","ja","八戸溝一丁目(1)"
"八戸溝一丁目(1)","ja-Hrkt","やえみぞいっちょうめ"
"新栄団地(1)","ja","新栄団地(1)"
"新栄団地(1)","ja-Hrkt","しんえいだんち"
"どんどんどんの森東(3)","ja","どんどんどんの森東(3)"
"どんどんどんの森東(3)","ja-Hrkt","どんどんどんのもりひがし"
"駅南本町西(1)","ja","駅南本町西(1)"
"駅南本町西(1)","ja-Hrkt","えきみなみほんまちにし"
"博物館前(2)","ja","博物館前(2)"
"博物館前(2)","ja-Hrkt","はくぶつかんまえ"
"赤松小学校前(2)","ja","赤松小学校前(2)"
"赤松小学校前(2)","ja-Hrkt","あかまつしょうがっこうまえ"
"中の館(2)","ja","中の館(2)"
"中の館(2)","ja-Hrkt","なかのたて"
"鬼丸(2)","ja","鬼丸(2)"
"鬼丸(2)","ja-Hrkt","おにまる"
"袋入口(2)","ja","袋入口(2)"
"袋入口(2)","ja-Hrkt","ふくろいりぐち"
"末次","ja","末次"
"末次","ja-Hrkt","すえつぐ"
"末次南(2)","ja","末次南(2)"
"末次南(2)","ja-Hrkt","すえつぐみなみ"
"満穴","ja","満穴"
"満穴","ja-Hrkt","みつあな"
"中島","ja","中島"
"中島","ja-Hrkt","なかしま"
"立野北","ja","立野北"
"立野北","ja-Hrkt","たてのきた"
"立野","ja","立野"
"立野","ja-Hrkt","たての"
"西船津","ja","西船津"
"西船津","ja-Hrkt","にしふなつ"
"佐房","ja","佐房"
"佐房","ja-Hrkt","さふさ"
"新村","ja","新村"
"新村","ja-Hrkt","しんむら"
"久町","ja","久町"
"久町","ja-Hrkt","ひさまち"
"広江","ja","広江"
"広江","ja-Hrkt","ひろえ"
"小々森(2)","ja","小々森(2)"
"小々森(2)","ja-Hrkt","こごもり"
"南部消防署前","ja","南部消防署前"
"南部消防署前","ja-Hrkt","なんぶしょうぼうしょまえ"
"小々森(1)","ja","小々森(1)"
"小々森(1)","ja-Hrkt","こごもり"
"末次南(1)","ja","末次南(1)"
"末次南(1)","ja-Hrkt","すえつぐみなみ"
"袋入口(1)","ja","袋入口(1)"
"袋入口(1)","ja-Hrkt","ふくろいりぐち"
"鬼丸(1)","ja","鬼丸(1)"
"鬼丸(1)","ja-Hrkt","おにまる"
"中の館(1)","ja","中の館(1)"
"中の館(1)","ja-Hrkt","なかのたて"
"赤松小学校前(1)","ja","赤松小学校前(1)"
"赤松小学校前(1)","ja-Hrkt","あかまつしょうがっこうまえ"
"博物館前(1)","ja","博物館前(1)"
"博物館前(1)","ja-Hrkt","はくぶつかんまえ"
"佐賀駅バスセンター(1)","ja","佐賀駅バスセンター(1)"
"佐賀駅バスセンター(1)","ja-Hrkt","さがえきばすせんたー"
"市役所南(2)","ja","市役所南(2)"
"市役所南(2)","ja-Hrkt","しやくしょみなみ"
"戸上電機前(2)","ja","戸上電機前(2)"
"戸上電機前(2)","ja-Hrkt","とがみでんきまえ"
"大財五丁目(2)","ja","大財五丁目(2)"
"大財五丁目(2)","ja-Hrkt","おおたからごちょうめ"
"大財六丁目(2)","ja","大財六丁目(2)"
"大財六丁目(2)","ja-Hrkt","おおたからろくちょうめ"
"下村河畔(2)","ja","下村河畔(2)"
"下村河畔(2)","ja-Hrkt","しもむらかはん"
"佐賀中部病院西(2)","ja","佐賀中部病院西(2)"
"佐賀中部病院西(2)","ja-Hrkt","さがちゅうぶびょういんにし"
"東中野(2)","ja","東中野(2)"
"東中野(2)","ja-Hrkt","ひがしなかの"
"兵庫小学校西(2)","ja","兵庫小学校西(2)"
"兵庫小学校西(2)","ja-Hrkt","ひょうごしょうがっこうにし"
"下渕南","ja","下渕南"
"下渕南","ja-Hrkt","しもふちみなみ"
"下渕","ja","下渕"
"下渕","ja-Hrkt","しもふち"
"妙常寺前","ja","妙常寺前"
"妙常寺前","ja-Hrkt","みょうじょうじまえ"
"うえむら病院前","ja","うえむら病院前"
"うえむら病院前","ja-Hrkt","うえむらびょういんまえ"
"兵庫団地前(2)","ja","兵庫団地前(2)"
"兵庫団地前(2)","ja-Hrkt","ひょうごだんちまえ"
"初町","ja","初町"
"初町","ja-Hrkt","はぜまち"
"東渕","ja","東渕"
"東渕","ja-Hrkt","ひがしぶち"
"渕頭","ja","渕頭"
"渕頭","ja-Hrkt","ふちがしら"
"かささぎの里前(2)","ja","かささぎの里前(2)"
"かささぎの里前(2)","ja-Hrkt","かささぎのさとまえ"
"徳永(2)","ja","徳永(2)"
"徳永(2)","ja-Hrkt","とくなが"
"白鬚神社前(2)","ja","白鬚神社前(2)"
"白鬚神社前(2)","ja-Hrkt","しらひげじんじゃまえ"
"村徳永(2)","ja","村徳永(2)"
"村徳永(2)","ja-Hrkt","むらとくなが"
"工業団地事務所前(2)","ja","工業団地事務所前(2)"
"工業団地事務所前(2)","ja-Hrkt","こうぎょうだんちじむしょまえ"
"久保泉工業団地西(2)","ja","久保泉工業団地西(2)"
"久保泉工業団地西(2)","ja-Hrkt","くぼいずみこうぎょうだんちにし"
"久保泉工業団地","ja","久保泉工業団地"
"久保泉工業団地","ja-Hrkt","くぼいずみこうぎょうだんち"
"久保泉工業団地西(1)","ja","久保泉工業団地西(1)"
"久保泉工業団地西(1)","ja-Hrkt","くぼいずみこうぎょうだんちにし"
"工業団地事務所前(1)","ja","工業団地事務所前(1)"
"工業団地事務所前(1)","ja-Hrkt","こうぎょうだんちじむしょまえ"
"村徳永(1)","ja","村徳永(1)"
"村徳永(1)","ja-Hrkt","むらとくなが"
"白鬚神社前(1)","ja","白鬚神社前(1)"
"白鬚神社前(1)","ja-Hrkt","しらひげじんじゃまえ"
"徳永(1)","ja","徳永(1)"
"徳永(1)","ja-Hrkt","とくなが"
"かささぎの里前(1)","ja","かささぎの里前(1)"
"かささぎの里前(1)","ja-Hrkt","かささぎのさとまえ"
"兵庫団地前(1)","ja","兵庫団地前(1)"
"兵庫団地前(1)","ja-Hrkt","ひょうごだんちまえ"
"兵庫小学校西(1)","ja","兵庫小学校西(1)"
"兵庫小学校西(1)","ja-Hrkt","ひょうごしょうがっこうにし"
"東中野(1)","ja","東中野(1)"
"東中野(1)","ja-Hrkt","ひがしなかの"
"佐賀中部病院西(1)","ja","佐賀中部病院西(1)"
"佐賀中部病院西(1)","ja-Hrkt","さがちゅうぶびょういんにし"
"下村河畔(1)","ja","下村河畔(1)"
"下村河畔(1)","ja-Hrkt","しもむらかはん"
"大財六丁目(1)","ja","大財六丁目(1)"
"大財六丁目(1)","ja-Hrkt","おおたからろくちょうめ"
"大財五丁目(1)","ja","大財五丁目(1)"
"大財五丁目(1)","ja-Hrkt","おおたからごちょうめ"
"戸上電機前(1)","ja","戸上電機前(1)"
"戸上電機前(1)","ja-Hrkt","とがみでんきまえ"
"市役所南(1)","ja","市役所南(1)"
"市役所南(1)","ja-Hrkt","しやくしょみなみ"
"佐賀駅北口(2)","ja","佐賀駅北口(2)"
"佐賀駅北口(2)","ja-Hrkt","さがえききたぐち"
"九電工前(2)","ja","九電工前(2)"
"九電工前(2)","ja-Hrkt","きゅうでんこうまえ"
"電通通り(2)","ja","電通通り(2)"
"電通通り(2)","ja-Hrkt","でんつうどおり"
"真生幼稚園前(2)","ja","真生幼稚園前(2)"
"真生幼稚園前(2)","ja-Hrkt","しんせいようちえんまえ"
"神野西四丁目(2)","ja","神野西四丁目(2)"
"神野西四丁目(2)","ja-Hrkt","こうのにしよんちょうめ"
"西九大神園前(2)","ja","西九大神園前(2)"
"西九大神園前(2)","ja-Hrkt","にしきゅうだいかみぞのまえ"
"若楠小学校前(2)","ja","若楠小学校前(2)"
"若楠小学校前(2)","ja-Hrkt","わかくすしょうがっこうまえ"
"運輸支局西(2)","ja","運輸支局西(2)"
"運輸支局西(2)","ja-Hrkt","うんゆしきょくにし"
"北陵高校前(2)","ja","北陵高校前(2)"
"北陵高校前(2)","ja-Hrkt","ほくりょうこうこうまえ"
"市営高木団地(2)","ja","市営高木団地(2)"
"市営高木団地(2)","ja-Hrkt","しえいたかぎだんち"
"高木瀬西四丁目(2)","ja","高木瀬西四丁目(2)"
"高木瀬西四丁目(2)","ja-Hrkt","たかきせにしよんちょうめ"
"高木瀬西五丁目(2)","ja","高木瀬西五丁目(2)"
"高木瀬西五丁目(2)","ja-Hrkt","たかきせにしごちょうめ"
"アルタ高木瀬店前(4)","ja","アルタ高木瀬店前(4)"
"アルタ高木瀬店前(4)","ja-Hrkt","あるたたかきせてんまえ"
"佐賀記念病院","ja","佐賀記念病院"
"佐賀記念病院","ja-Hrkt","さがきねんびょういん"
"アルタ高木瀬店前(3)","ja","アルタ高木瀬店前(3)"
"アルタ高木瀬店前(3)","ja-Hrkt","あるたたかきせてんまえ"
"高木瀬公民館(2)","ja","高木瀬公民館(2)"
"高木瀬公民館(2)","ja-Hrkt","たかきせこうみんかんまえ"
"高木瀬西五丁目(1)","ja","高木瀬西五丁目(1)"
"高木瀬西五丁目(1)","ja-Hrkt","たかきせにしごちょうめ"
"高木瀬西四丁目(1)","ja","高木瀬西四丁目(1)"
"高木瀬西四丁目(1)","ja-Hrkt","たかきせにしよんちょうめ"
"市営高木団地(1)","ja","市営高木団地(1)"
"市営高木団地(1)","ja-Hrkt","しえいたかぎだんち"
"北陵高校前(1)","ja","北陵高校前(1)"
"北陵高校前(1)","ja-Hrkt","ほくりょうこうこうまえ"
"運輸支局西(1)","ja","運輸支局西(1)"
"運輸支局西(1)","ja-Hrkt","うんゆしきょくにし"
"若楠小学校前(1)","ja","若楠小学校前(1)"
"若楠小学校前(1)","ja-Hrkt","わかくすしょうがっこうまえ"
"西九大神園前(1)","ja","西九大神園前(1)"
"西九大神園前(1)","ja-Hrkt","にしきゅうだいかみぞのまえ"
"神野西四丁目(1)","ja","神野西四丁目(1)"
"神野西四丁目(1)","ja-Hrkt","こうのにしよんちょうめ"
"真生幼稚園前(1)","ja","真生幼稚園前(1)"
"真生幼稚園前(1)","ja-Hrkt","しんせいようちえんまえ"
"電通通り(1)","ja","電通通り(1)"
"電通通り(1)","ja-Hrkt","でんつうどおり"
"九電工前(1)","ja","九電工前(1)"
"九電工前(1)","ja-Hrkt","きゅうでんこうまえ"
"佐賀駅北口(1)","ja","佐賀駅北口(1)"
"佐賀駅北口(1)","ja-Hrkt","さがえききたぐち"
"佐賀学園北(2)","ja","佐賀学園北(2)"
"佐賀学園北(2)","ja-Hrkt","さががくえんきた"
"藤木(2)","ja","藤木(2)"
"藤木(2)","ja-Hrkt","ふじのき"
"致遠館前(2)","ja","致遠館前(2)"
"致遠館前(2)","ja-Hrkt","ちえんかんまえ"
"警察署前(2)","ja","警察署前(2)"
"警察署前(2)","ja-Hrkt","けいさつしょまえ"
"市文化会館東(2)","ja","市文化会館東(2)"
"市文化会館東(2)","ja-Hrkt","しぶんかかいかんひがし"
"東高木","ja","東高木"
"東高木","ja-Hrkt","ひがしたかぎ"
"寄人(2)","ja","寄人(2)"
"寄人(2)","ja-Hrkt","よりゅうど"
"城北団地(2)","ja","城北団地(2)"
"城北団地(2)","ja-Hrkt","じょうほくだんち"
"二俣","ja","二俣"
"二俣","ja-Hrkt","ふたまた"
"グラスコート佐賀(2)","ja","グラスコート佐賀(2)"
"グラスコート佐賀(2)","ja-Hrkt","ぐらすこーとさが"
"千布南(2)","ja","千布南(2)"
"千布南(2)","ja-Hrkt","ちふみなみ"
"東千布(2)","ja","東千布(2)"
"東千布(2)","ja-Hrkt","ひがしちふ"
"金立公民館前","ja","金立公民館前"
"金立公民館前","ja-Hrkt","きんりゅうこうみんかんまえ"
"金立ケアセンター前(2)","ja","金立ケアセンター前(2)"
"金立ケアセンター前(2)","ja-Hrkt","きんりゅうけあせんたーまえ"
"健康運動センター(1)","ja","健康運動センター(1)"
"健康運動センター(1)","ja-Hrkt","けんこううんどうせんたー"
"東千布(1)","ja","東千布(1)"
"東千布(1)","ja-Hrkt","ひがしちふ"
"千布南(1)","ja","千布南(1)"
"千布南(1)","ja-Hrkt","ちふみなみ"
"グラスコート佐賀(1)","ja","グラスコート佐賀(1)"
"グラスコート佐賀(1)","ja-Hrkt","ぐらすこーとさが"
"金立ケアセンター前(1)","ja","金立ケアセンター前(1)"
"金立ケアセンター前(1)","ja-Hrkt","きんりゅうけあせんたーまえ"
"城北団地(1)","ja","城北団地(1)"
"城北団地(1)","ja-Hrkt","じょうほくだんち"
"寄人(1)","ja","寄人(1)"
"寄人(1)","ja-Hrkt","よりゅうど"
"市文化会館東(1)","ja","市文化会館東(1)"
"市文化会館東(1)","ja-Hrkt","しぶんかかいかんひがし"
"警察署前(1)","ja","警察署前(1)"
"警察署前(1)","ja-Hrkt","けいさつしょまえ"
"致遠館前(1)","ja","致遠館前(1)"
"致遠館前(1)","ja-Hrkt","ちえんかんまえ"
"藤木(1)","ja","藤木(1)"
"藤木(1)","ja-Hrkt","ふじのき"
"佐賀学園北(1)","ja","佐賀学園北(1)"
"佐賀学園北(1)","ja-Hrkt","さががくえんきた"
"大財町(2)","ja","大財町(2)"
"大財町(2)","ja-Hrkt","おおたからまち"
"呉服元町(2)","ja","呉服元町(2)"
"呉服元町(2)","ja-Hrkt","ごふくもとまち"
"片田江(1)[片田江北]","ja","片田江(1)[片田江北]"
"片田江(1)[片田江北]","ja-Hrkt","かたたえ"
"佐賀大学前(2)","ja","佐賀大学前(2)"
"佐賀大学前(2)","ja-Hrkt","さがだいがくまえ"
"佐賀大学東(2)","ja","佐賀大学東(2)"
"佐賀大学東(2)","ja-Hrkt","さがだいがくひがし"
"なゆたの森病院前(2)","ja","なゆたの森病院前(2)"
"なゆたの森病院前(2)","ja-Hrkt","なゆたのもりびょういんまえ"
"本庄小学校前(2)","ja","本庄小学校前(2)"
"本庄小学校前(2)","ja-Hrkt","ほんじょうしょうがっこうまえ"
"本庄公民館前(2)","ja","本庄公民館前(2)"
"本庄公民館前(2)","ja-Hrkt","ほんじょうこうみんかんまえ"
"鹿の子団地(2)","ja","鹿の子団地(2)"
"鹿の子団地(2)","ja-Hrkt","かのこだんち"
"鹿の子(2)","ja","鹿の子(2)"
"鹿の子(2)","ja-Hrkt","かのこ"
"鹿の子宮前(2)","ja","鹿の子宮前(2)"
"鹿の子宮前(2)","ja-Hrkt","かのこみやまえ"
"上古賀(2)","ja","上古賀(2)"
"上古賀(2)","ja-Hrkt","かみこが"
"下古賀(2)","ja","下古賀(2)"
"下古賀(2)","ja-Hrkt","しもこが"
"田中(2)","ja","田中(2)"
"田中(2)","ja-Hrkt","たなか"
"東与賀支所前(2)","ja","東与賀支所前(2)"
"東与賀支所前(2)","ja-Hrkt","ひがしよかししょまえ"
"東与賀郵便局前(2)","ja","東与賀郵便局前(2)"
"東与賀郵便局前(2)","ja-Hrkt","ひがしよかゆうびんきょくまえ"
"作出(2)","ja","作出(2)"
"作出(2)","ja-Hrkt","つくいで"
"住吉(2)","ja","住吉(2)"
"住吉(2)","ja-Hrkt","すみよし"
"大野東(2)","ja","大野東(2)"
"大野東(2)","ja-Hrkt","おおのひがし"
"大野中(2)","ja","大野中(2)"
"大野中(2)","ja-Hrkt","おおのなか"
"大野","ja","大野"
"大野","ja-Hrkt","おおの"
"大野中(1)","ja","大野中(1)"
"大野中(1)","ja-Hrkt","おおのなか"
"大野東(1)","ja","大野東(1)"
"大野東(1)","ja-Hrkt","おおのひがし"
"住吉(1)","ja","住吉(1)"
"住吉(1)","ja-Hrkt","すみよし"
"作出(1)","ja","作出(1)"
"作出(1)","ja-Hrkt","つくいで"
"東与賀郵便局前(1)","ja","東与賀郵便局前(1)"
"東与賀郵便局前(1)","ja-Hrkt","ひがしよかゆうびんきょくまえ"
"東与賀支所前(1)","ja","東与賀支所前(1)"
"東与賀支所前(1)","ja-Hrkt","ひがしよかししょまえ"
"田中(1)","ja","田中(1)"
"田中(1)","ja-Hrkt","たなか"
"下古賀(1)","ja","下古賀(1)"
"下古賀(1)","ja-Hrkt","しもこが"
"上古賀(1)","ja","上古賀(1)"
"上古賀(1)","ja-Hrkt","かみこが"
"鹿の子宮前(1)","ja","鹿の子宮前(1)"
"鹿の子宮前(1)","ja-Hrkt","かのこみやまえ"
"鹿の子(1)","ja","鹿の子(1)"
"鹿の子(1)","ja-Hrkt","かのこ"
"鹿の子団地(1)","ja","鹿の子団地(1)"
"鹿の子団地(1)","ja-Hrkt","かのこだんち"
"本庄公民館前(1)","ja","本庄公民館前(1)"
"本庄公民館前(1)","ja-Hrkt","ほんじょうこうみんかんまえ"
"本庄小学校前(1)","ja","本庄小学校前(1)"
"本庄小学校前(1)","ja-Hrkt","ほんじょうしょうがっこうまえ"
"なゆたの森病院前(1)","ja","なゆたの森病院前(1)"
"なゆたの森病院前(1)","ja-Hrkt","なゆたのもりびょういんまえ"
"佐賀大学東(1)","ja","佐賀大学東(1)"
"佐賀大学東(1)","ja-Hrkt","さがだいがくひがし"
"呉服元町(1)","ja","呉服元町(1)"
"呉服元町(1)","ja-Hrkt","ごふくもとまち"
"大財町(1)","ja","大財町(1)"
"大財町(1)","ja-Hrkt","おおたからまち"
"ちやの木(1)","ja","ちやの木(1)"
"ちやの木(1)","ja-Hrkt","ちやのき"
"本庄宮前(2)","ja","本庄宮前(2)"
"本庄宮前(2)","ja-Hrkt","ほんじょうみやまえ"
"平松(2)","ja","平松(2)"
"平松(2)","ja-Hrkt","ひらまつ"
"中村(2)","ja","中村(2)"
"中村(2)","ja-Hrkt","なかむら"
"今津上町(2)","ja","今津上町(2)"
"今津上町(2)","ja-Hrkt","いまづかみまち"
"今津下町(2)","ja","今津下町(2)"
"今津下町(2)","ja-Hrkt","いまづしもまち"
"ブルースタジアム前(2)","ja","ブルースタジアム前(2)"
"ブルースタジアム前(2)","ja-Hrkt","ぶるーすたじあむまえ"
"高太郎橋(2)","ja","高太郎橋(2)"
"高太郎橋(2)","ja-Hrkt","たかたろうばし"
"丸目(2)","ja","丸目(2)"
"丸目(2)","ja-Hrkt","まるめ"
"本庄江橋(4)","ja","本庄江橋(4)"
"本庄江橋(4)","ja-Hrkt","ほんじょうえばし"
"久保田橋(2)","ja","久保田橋(2)"
"久保田橋(2)","ja-Hrkt","くぼたばし"
"久富(2)","ja","久富(2)"
"久富(2)","ja-Hrkt","ひさどみ"
"くぼた特産物直売所前(2)","ja","くぼた特産物直売所前(2)"
"くぼた特産物直売所前(2)","ja-Hrkt","くぼたとくさんぶつちょくばいしょまえ"
"久富(1)","ja","久富(1)"
"久富(1)","ja-Hrkt","ひさどみ"
"久保田橋(1)","ja","久保田橋(1)"
"久保田橋(1)","ja-Hrkt","くぼたばし"
"本庄江橋(3)","ja","本庄江橋(3)"
"本庄江橋(3)","ja-Hrkt","ほんじょうえばし"
"丸目(1)","ja","丸目(1)"
"丸目(1)","ja-Hrkt","まるめ"
"高太郎橋(1)","ja","高太郎橋(1)"
"高太郎橋(1)","ja-Hrkt","たかたろうばし"
"ブルースタジアム前(1)","ja","ブルースタジアム前(1)"
"ブルースタジアム前(1)","ja-Hrkt","ぶるーすたじあむまえ"
"今津下町(1)","ja","今津下町(1)"
"今津下町(1)","ja-Hrkt","いまづしもまち"
"今津上町(1)","ja","今津上町(1)"
"今津上町(1)","ja-Hrkt","いまづかみまち"
"中村(1)","ja","中村(1)"
"中村(1)","ja-Hrkt","なかむら"
"平松(1)","ja","平松(1)"
"平松(1)","ja-Hrkt","ひらまつ"
"本庄宮前(1)","ja","本庄宮前(1)"
"本庄宮前(1)","ja-Hrkt","ほんじょうみやまえ"
"ちやの木(2)","ja","ちやの木(2)"
"ちやの木(2)","ja-Hrkt","ちやのき"
"片田江(2)[片田江東]","ja","片田江(2)[片田江東]"
"片田江(2)[片田江東]","ja-Hrkt","かたたえ"
"材木橋(2)","ja","材木橋(2)"
"材木橋(2)","ja-Hrkt","ざいもくばし"
"東佐賀(2)","ja","東佐賀(2)"
"東佐賀(2)","ja-Hrkt","ひがしさが"
"東田代(1)","ja","東田代(1)"
"東田代(1)","ja-Hrkt","ひがしたしろ"
"今宿町(2)","ja","今宿町(2)"
"今宿町(2)","ja-Hrkt","いましゅくまち"
"枝吉(2)","ja","枝吉(2)"
"枝吉(2)","ja-Hrkt","えだよし"
"矢ヶ部医院前(2)","ja","矢ヶ部医院前(2)"
"矢ヶ部医院前(2)","ja-Hrkt","やかべいいんまえ"
"江上町(2)","ja","江上町(2)"
"江上町(2)","ja-Hrkt","えがみまち"
"江上町東","ja","江上町東"
"江上町東","ja-Hrkt","えがみまちひがし"
"増田口","ja","増田口"
"増田口","ja-Hrkt","ますだぐち"
"犬尾","ja","犬尾"
"犬尾","ja-Hrkt","いぬお"
"東西(2)","ja","東西(2)"
"東西(2)","ja-Hrkt","とうさい"
"東の巨勢(2)","ja","東の巨勢(2)"
"東の巨勢(2)","ja-Hrkt","とうのこせ"
"蓮池魚町(1)","ja","蓮池魚町(1)"
"蓮池魚町(1)","ja-Hrkt","はすいけうおまち"
"蓮池公園前(2)","ja","蓮池公園前(2)"
"蓮池公園前(2)","ja-Hrkt","はすいけこうえんまえ"
"蓮池郵便局前","ja","蓮池郵便局前"
"蓮池郵便局前","ja-Hrkt","はすいけゆうびんきょくまえ"
"中地橋","ja","中地橋"
"中地橋","ja-Hrkt","なかちばし"
"芙蓉校前","ja","芙蓉校前"
"芙蓉校前","ja-Hrkt","ふようこうまえ"
"小松(2)","ja","小松(2)"
"小松(2)","ja-Hrkt","こまつ"
"堂地(2)","ja","堂地(2)"
"堂地(2)","ja-Hrkt","どうち"
"蒲田津橋","ja","蒲田津橋"
"蒲田津橋","ja-Hrkt","かまたつばし"
"渡端(2)","ja","渡端(2)"
"渡端(2)","ja-Hrkt","わたしばた"
"大堂","ja","大堂"
"大堂","ja-Hrkt","おおどう"
"渡端(1)","ja","渡端(1)"
"渡端(1)","ja-Hrkt","わたしばた"
"堂地(1)","ja","堂地(1)"
"堂地(1)","ja-Hrkt","どうち"
"小松(1)","ja","小松(1)"
"小松(1)","ja-Hrkt","こまつ"
"蓮池公園前(1)","ja","蓮池公園前(1)"
"蓮池公園前(1)","ja-Hrkt","はすいけこうえんまえ"
"蓮池魚町(2)","ja","蓮池魚町(2)"
"蓮池魚町(2)","ja-Hrkt","はすいけうおまち"
"東の巨勢(1)","ja","東の巨勢(1)"
"東の巨勢(1)","ja-Hrkt","とうのこせ"
"東西(1)","ja","東西(1)"
"東西(1)","ja-Hrkt","とうさい"
"江上町(1)","ja","江上町(1)"
"江上町(1)","ja-Hrkt","えがみまち"
"矢ヶ部医院前(1)","ja","矢ヶ部医院前(1)"
"矢ヶ部医院前(1)","ja-Hrkt","やかべいいんまえ"
"枝吉(1)","ja","枝吉(1)"
"枝吉(1)","ja-Hrkt","えだよし"
"今宿町(1)","ja","今宿町(1)"
"今宿町(1)","ja-Hrkt","いましゅくまち"
"東田代(2)","ja","東田代(2)"
"東田代(2)","ja-Hrkt","ひがしたしろ"
"東佐賀(1)","ja","東佐賀(1)"
"東佐賀(1)","ja-Hrkt","ひがしさが"
"材木橋(1)","ja","材木橋(1)"
"材木橋(1)","ja-Hrkt","ざいもくばし"
"片田江(3)[片田江東]","ja","片田江(3)[片田江東]"
"片田江(3)[片田江東]","ja-Hrkt","かたたえ"
"副島病院前(2)","ja","副島病院前(2)"
"副島病院前(2)","ja-Hrkt","そえじまびょういんまえ"
"エスプラッツ前(2)","ja","エスプラッツ前(2)"
"エスプラッツ前(2)","ja-Hrkt","えすぷらっつまえ"
"牛島下(2)","ja","牛島下(2)"
"牛島下(2)","ja-Hrkt","うしじましも"
"高尾(1)","ja","高尾(1)"
"高尾(1)","ja-Hrkt","たかお"
"老人センター前(2)","ja","老人センター前(2)"
"老人センター前(2)","ja-Hrkt","ろうじんせんたーまえ"
"巨勢公民館前(2)","ja","巨勢公民館前(2)"
"巨勢公民館前(2)","ja-Hrkt","こせこうみんかんまえ"
"道崎(1)","ja","道崎(1)"
"道崎(1)","ja-Hrkt","みちさき"
"巨勢公民館前(1)","ja","巨勢公民館前(1)"
"巨勢公民館前(1)","ja-Hrkt","こせこうみんかんまえ"
"老人センター前(1)","ja","老人センター前(1)"
"老人センター前(1)","ja-Hrkt","ろうじんせんたーまえ"
"高尾(2)","ja","高尾(2)"
"高尾(2)","ja-Hrkt","たかお"
"牛島下(1)","ja","牛島下(1)"
"牛島下(1)","ja-Hrkt","うしじましも"
"エスプラッツ前(1)","ja","エスプラッツ前(1)"
"エスプラッツ前(1)","ja-Hrkt","えすぷらっつまえ"
"副島病院前(1)","ja","副島病院前(1)"
"副島病院前(1)","ja-Hrkt","そえじまびょういんまえ"
"西神野(2)","ja","西神野(2)"
"西神野(2)","ja-Hrkt","にしこうの"
"昭和橋(2)","ja","昭和橋(2)"
"昭和橋(2)","ja-Hrkt","しょうわばし"
"神野公園(2)","ja","神野公園(2)"
"神野公園(2)","ja-Hrkt","こうのこうえん"
"八戸溝郵便局前(2)","ja","八戸溝郵便局前(2)"
"八戸溝郵便局前(2)","ja-Hrkt","やえみぞゆうびんきょくまえ"
"鍋島団地(2)","ja","鍋島団地(2)"
"鍋島団地(2)","ja-Hrkt","なべしまだんち"
"鍋島新村(2)","ja","鍋島新村(2)"
"鍋島新村(2)","ja-Hrkt","なべしましんむら"
"ＪＡ佐賀市せいぶ支所前(2)","ja","ＪＡ佐賀市せいぶ支所前(2)"
"ＪＡ佐賀市せいぶ支所前(2)","ja-Hrkt","じぇいえいさがしせいぶししょまえ"
"鍋島小学校前(2)","ja","鍋島小学校前(2)"
"鍋島小学校前(2)","ja-Hrkt","なべしましょうがっこうまえ"
"鍋島一丁目(2)","ja","鍋島一丁目(2)"
"鍋島一丁目(2)","ja-Hrkt","なべしまいっちょうめ"
"津留(2)","ja","津留(2)"
"津留(2)","ja-Hrkt","つる"
"医学部入口(2)","ja","医学部入口(2)"
"医学部入口(2)","ja-Hrkt","いがくぶいりぐち"
"佐賀大学病院","ja","佐賀大学病院"
"佐賀大学病院","ja-Hrkt","さがだいがくびょういん"
"医学部入口(1)","ja","医学部入口(1)"
"医学部入口(1)","ja-Hrkt","いがくぶいりぐち"
"津留(1)","ja","津留(1)"
"津留(1)","ja-Hrkt","つる"
"鍋島一丁目(1)","ja","鍋島一丁目(1)"
"鍋島一丁目(1)","ja-Hrkt","なべしまいっちょうめ"
"鍋島小学校前(1)","ja","鍋島小学校前(1)"
"鍋島小学校前(1)","ja-Hrkt","なべしましょうがっこうまえ"
"ＪＡ佐賀市せいぶ支所前(1)","ja","ＪＡ佐賀市せいぶ支所前(1)"
"ＪＡ佐賀市せいぶ支所前(1)","ja-Hrkt","じぇいえいさがしせいぶししょまえ"
"鍋島新村(1)","ja","鍋島新村(1)"
"鍋島新村(1)","ja-Hrkt","なべしましんむら"
"鍋島団地(1)","ja","鍋島団地(1)"
"鍋島団地(1)","ja-Hrkt","なべしまだんち"
"八戸溝郵便局前(1)","ja","八戸溝郵便局前(1)"
"八戸溝郵便局前(1)","ja-Hrkt","やえみぞゆうびんきょくまえ"
"神野公園(1)","ja","神野公園(1)"
"神野公園(1)","ja-Hrkt","こうのこうえん"
"昭和橋(1)","ja","昭和橋(1)"
"昭和橋(1)","ja-Hrkt","しょうわばし"
"西神野(1)","ja","西神野(1)"
"西神野(1)","ja-Hrkt","にしこうの"
"堀江通(3)","ja","堀江通(3)"
"堀江通(3)","ja-Hrkt","ほりえどおり"
"鍋島シェスト前(2)","ja","鍋島シェスト前(2)"
"鍋島シェスト前(2)","ja-Hrkt","なべしましぇすとまえ"
"鍋島西団地(2)","ja","鍋島西団地(2)"
"鍋島西団地(2)","ja-Hrkt","なべしまにしだんち"
"医学部西(2)","ja","医学部西(2)"
